Municipios;Sexo;Periodo;Total
36003 Baiona;Hombres;2008;5946
36003 Baiona;Hombres;2007;5868
36003 Baiona;Hombres;2006;5751
36003 Baiona;Hombres;2005;5703
36003 Baiona;Hombres;2004;5597
36003 Baiona;Hombres;2003;5501
36003 Baiona;Hombres;2002;5410
36003 Baiona;Hombres;2001;5328
36003 Baiona;Hombres;2000;5271
36003 Baiona;Hombres;1999;5214
36003 Baiona;Hombres;1998;5107
36003 Baiona;Hombres;1997;
36003 Baiona;Hombres;1996;5129
36003 Baiona;Mujeres;2020;6152
36003 Baiona;Mujeres;2019;6148
36003 Baiona;Mujeres;2018;6150
36003 Baiona;Mujeres;2017;6151
36003 Baiona;Mujeres;2016;6116
36003 Baiona;Mujeres;2015;6090
36003 Baiona;Mujeres;2014;6157
36003 Baiona;Mujeres;2013;6071
36003 Baiona;Mujeres;2012;6053
36003 Baiona;Mujeres;2011;6156
36003 Baiona;Mujeres;2010;6117
36003 Baiona;Mujeres;2009;6091
36003 Baiona;Mujeres;2008;6030
36003 Baiona;Mujeres;2007;5971
36003 Baiona;Mujeres;2006;5902
36003 Baiona;Mujeres;2005;5818
36003 Baiona;Mujeres;2004;5740
36003 Baiona;Mujeres;2003;5652
36003 Baiona;Mujeres;2002;5604
36003 Baiona;Mujeres;2001;5545
36003 Baiona;Mujeres;2000;5470
36003 Baiona;Mujeres;1999;5445
36003 Baiona;Mujeres;1998;5336
36003 Baiona;Mujeres;1997;
36003 Baiona;Mujeres;1996;5370
36002 Barro;Total;2020;3623
36002 Barro;Total;2019;3680
36002 Barro;Total;2018;3716
36002 Barro;Total;2017;3699
36002 Barro;Total;2016;3746
36002 Barro;Total;2015;3726
36002 Barro;Total;2014;3705
36002 Barro;Total;2013;3712
36002 Barro;Total;2012;3724
36002 Barro;Total;2011;3668
36002 Barro;Total;2010;3642
36002 Barro;Total;2009;3583
36002 Barro;Total;2008;3498
36002 Barro;Total;2007;3426
36002 Barro;Total;2006;3402
36002 Barro;Total;2005;3408
36002 Barro;Total;2004;3380
36002 Barro;Total;2003;3418
36002 Barro;Total;2002;3444
36002 Barro;Total;2001;3470
36002 Barro;Total;2000;3538
36002 Barro;Total;1999;3533
36002 Barro;Total;1998;3540
36002 Barro;Total;1997;
36002 Barro;Total;1996;3570
36002 Barro;Hombres;2020;1784
36002 Barro;Hombres;2019;1824
36002 Barro;Hombres;2018;1846
36002 Barro;Hombres;2017;1842
36002 Barro;Hombres;2016;1862
36002 Barro;Hombres;2015;1844
36002 Barro;Hombres;2014;1832
36002 Barro;Hombres;2013;1836
36002 Barro;Hombres;2012;1842
36002 Barro;Hombres;2011;1801
36002 Barro;Hombres;2010;1801
36002 Barro;Hombres;2009;1772
36002 Barro;Hombres;2008;1722
36002 Barro;Hombres;2007;1682
36002 Barro;Hombres;2006;1659
36002 Barro;Hombres;2005;1656
36002 Barro;Hombres;2004;1629
36002 Barro;Hombres;2003;1632
36002 Barro;Hombres;2002;1650
36002 Barro;Hombres;2001;1647
36002 Barro;Hombres;2000;1673
36002 Barro;Hombres;1999;1686
36002 Barro;Hombres;1998;1694
36002 Barro;Hombres;1997;
36002 Barro;Hombres;1996;1710
36002 Barro;Mujeres;2020;1839
36002 Barro;Mujeres;2019;1856
36002 Barro;Mujeres;2018;1870
36002 Barro;Mujeres;2017;1857
36002 Barro;Mujeres;2016;1884
36002 Barro;Mujeres;2015;1882
36002 Barro;Mujeres;2014;1873
36002 Barro;Mujeres;2013;1876
36002 Barro;Mujeres;2012;1882
36002 Barro;Mujeres;2011;1867
36002 Barro;Mujeres;2010;1841
36002 Barro;Mujeres;2009;1811
36002 Barro;Mujeres;2008;1776
36002 Barro;Mujeres;2007;1744
36002 Barro;Mujeres;2006;1743
36002 Barro;Mujeres;2005;1752
36002 Barro;Mujeres;2004;1751
36002 Barro;Mujeres;2003;1786
36002 Barro;Mujeres;2002;1794
36002 Barro;Mujeres;2001;1823
36002 Barro;Mujeres;2000;1865
36002 Barro;Mujeres;1999;1847
36002 Barro;Mujeres;1998;1846
36002 Barro;Mujeres;1997;
36002 Barro;Mujeres;1996;1860
36004 Bueu;Total;2020;11950
36004 Bueu;Total;2019;12009
36004 Bueu;Total;2018;12148
36004 Bueu;Total;2017;12145
36004 Bueu;Total;2016;12189
36004 Bueu;Total;2015;12251
36004 Bueu;Total;2014;12352
36004 Bueu;Total;2013;12375
36004 Bueu;Total;2012;12373
36004 Bueu;Total;2011;12348
36004 Bueu;Total;2010;12368
36004 Bueu;Total;2009;12331
36004 Bueu;Total;2008;12375
36004 Bueu;Total;2007;12440
36004 Bueu;Total;2006;12537
36004 Bueu;Total;2005;12528
36004 Bueu;Total;2004;12483
36004 Bueu;Total;2003;12342
36004 Bueu;Total;2002;12469
36004 Bueu;Total;2001;12548
36004 Bueu;Total;2000;12526
36004 Bueu;Total;1999;12517
36004 Bueu;Total;1998;12484
36004 Bueu;Total;1997;
36004 Bueu;Total;1996;12599
36004 Bueu;Hombres;2020;5878
36004 Bueu;Hombres;2019;5924
36004 Bueu;Hombres;2018;5983
36004 Bueu;Hombres;2017;5988
36004 Bueu;Hombres;2016;5983
36004 Bueu;Hombres;2015;6031
36004 Bueu;Hombres;2014;6072
36004 Bueu;Hombres;2013;6094
36004 Bueu;Hombres;2012;6127
36004 Bueu;Hombres;2011;6087
36004 Bueu;Hombres;2010;6094
36004 Bueu;Hombres;2009;6066
36004 Bueu;Hombres;2008;6090
36004 Bueu;Hombres;2007;6127
36004 Bueu;Hombres;2006;6165
36004 Bueu;Hombres;2005;6158
36004 Bueu;Hombres;2004;6136
36004 Bueu;Hombres;2003;6070
36004 Bueu;Hombres;2002;6121
36004 Bueu;Hombres;2001;6159
36004 Bueu;Hombres;2000;6109
36004 Bueu;Hombres;1999;6129
36004 Bueu;Hombres;1998;6111
36004 Bueu;Hombres;1997;
36004 Bueu;Hombres;1996;6192
36004 Bueu;Mujeres;2020;6072
36004 Bueu;Mujeres;2019;6085
36004 Bueu;Mujeres;2018;6165
36004 Bueu;Mujeres;2017;6157
36004 Bueu;Mujeres;2016;6206
36004 Bueu;Mujeres;2015;6220
36004 Bueu;Mujeres;2014;6280
36004 Bueu;Mujeres;2013;6281
36004 Bueu;Mujeres;2012;6246
36004 Bueu;Mujeres;2011;6261
36004 Bueu;Mujeres;2010;6274
36004 Bueu;Mujeres;2009;6265
36004 Bueu;Mujeres;2008;6285
36004 Bueu;Mujeres;2007;6313
36004 Bueu;Mujeres;2006;6372
36004 Bueu;Mujeres;2005;6370
36004 Bueu;Mujeres;2004;6347
36004 Bueu;Mujeres;2003;6272
36004 Bueu;Mujeres;2002;6348
36004 Bueu;Mujeres;2001;6389
36004 Bueu;Mujeres;2000;6417
36004 Bueu;Mujeres;1999;6388
36004 Bueu;Mujeres;1998;6373
36004 Bueu;Mujeres;1997;
36004 Bueu;Mujeres;1996;6407
36005 Caldas de Reis;Total;2020;9775
36005 Caldas de Reis;Total;2019;9785
36005 Caldas de Reis;Total;2018;9860
36005 Caldas de Reis;Total;2017;9825
36005 Caldas de Reis;Total;2016;9830
36005 Caldas de Reis;Total;2015;9834
36005 Caldas de Reis;Total;2014;9895
36005 Caldas de Reis;Total;2013;10019
36005 Caldas de Reis;Total;2012;10008
36005 Caldas de Reis;Total;2011;10060
36005 Caldas de Reis;Total;2010;10045
36005 Caldas de Reis;Total;2009;10036
36005 Caldas de Reis;Total;2008;9975
36005 Caldas de Reis;Total;2007;9796
36005 Caldas de Reis;Total;2006;9730
36005 Caldas de Reis;Total;2005;9673
36005 Caldas de Reis;Total;2004;9522
36005 Caldas de Reis;Total;2003;9532
36005 Caldas de Reis;Total;2002;9444
36005 Caldas de Reis;Total;2001;9453
36005 Caldas de Reis;Total;2000;9441
36005 Caldas de Reis;Total;1999;9405
36005 Caldas de Reis;Total;1998;9369
36005 Caldas de Reis;Total;1997;
36005 Caldas de Reis;Total;1996;9307
36005 Caldas de Reis;Hombres;2020;4699
36005 Caldas de Reis;Hombres;2019;4706
36005 Caldas de Reis;Hombres;2018;4748
36005 Caldas de Reis;Hombres;2017;4750
36005 Caldas de Reis;Hombres;2016;4751
36005 Caldas de Reis;Hombres;2015;4742
36005 Caldas de Reis;Hombres;2014;4774
36005 Caldas de Reis;Hombres;2013;4846
36005 Caldas de Reis;Hombres;2012;4857
36005 Caldas de Reis;Hombres;2011;4902
36005 Caldas de Reis;Hombres;2010;4892
36005 Caldas de Reis;Hombres;2009;4887
36005 Caldas de Reis;Hombres;2008;4848
36005 Caldas de Reis;Hombres;2007;4728
36005 Caldas de Reis;Hombres;2006;4678
36005 Caldas de Reis;Hombres;2005;4674
36005 Caldas de Reis;Hombres;2004;4591
36005 Caldas de Reis;Hombres;2003;4583
36005 Caldas de Reis;Hombres;2002;4537
36005 Caldas de Reis;Hombres;2001;4539
36005 Caldas de Reis;Hombres;2000;4540
36005 Caldas de Reis;Hombres;1999;4510
36005 Caldas de Reis;Hombres;1998;4501
36005 Caldas de Reis;Hombres;1997;
36005 Caldas de Reis;Hombres;1996;4479
36005 Caldas de Reis;Mujeres;2020;5076
36005 Caldas de Reis;Mujeres;2019;5079
36005 Caldas de Reis;Mujeres;2018;5112
36005 Caldas de Reis;Mujeres;2017;5075
36005 Caldas de Reis;Mujeres;2016;5079
36005 Caldas de Reis;Mujeres;2015;5092
36005 Caldas de Reis;Mujeres;2014;5121
36005 Caldas de Reis;Mujeres;2013;5173
36005 Caldas de Reis;Mujeres;2012;5151
36005 Caldas de Reis;Mujeres;2011;5158
36005 Caldas de Reis;Mujeres;2010;5153
36005 Caldas de Reis;Mujeres;2009;5149
36005 Caldas de Reis;Mujeres;2008;5127
